,household_number,source,provenance,declarant_name,declarant_name_parsed,declarant_id,name_of_family_members,name_of_non_family_members,slaves,declarant_occupation,verif_photo,discussion
126,159 Ar 5,P.Ryl. II 111 (cf. BL 3.160; BASP2Z [1991] 129-32),"Arsinoe, 161",NN,['NN'],['159 Ar 5-d1'],"['(1) NN [declarant], age lost', '(2) NN, full sister and divorced wife of declarant, age lost', '(3) NN, d. NN [no.l] and NN [no.2], age lost', '(4) Didymarion, d. NN [no.l] NN [no.2], 10', '(5) NN, wife of NN [declarant], age lost', '(6) Tryphaina, d. NN [no.l] and NN [no.5], age lost', '(7) NN, d. NN [no.l] and NN [no.5], age lost', '(8) NN (male), age lost', '(9) NN, wife of NN [no.8], age lost', '(10) NN, s. (?) of NN [no.8] and NN [no.9], 8', '(11) Dioskoros s. NN [no.8] and NN [no.9], age lost', '(12) NN (male), age lost', '(13) NN, wife of NN [no.12], age lost', '(14) NN, s. NN [no.12] and NN [no.13], 4', '(15) NN, s. NN [no.12] and NN [no.13], 4', '(16) Heron s. Heron, age lost', '(17) - r a , 29', '(18) Tasoucharion, age lost', '(19) NN (male), 51', '(20) NN, wife of NN (no.19), age lost', '(21) NN, d. NN (no. 19) and NN (no.20), age lost', '(22) NN, d. NN (no.19) and NN (no.20), age lost']",[],"['(1) Nikephoros surnamed Harpalos, slave of declarant, age lost', '(2) NN, slave of declarant, age lost', '(3) Isiakos alias Amoules, slave of declarant, age lost', '(4) Eudaimonis, slave of declarant, 9', '(5) Kalokairos, slave of Herois d. Harpokration, age lost']",,"Manchester, John Rylands Library; photograph.","Left side lost, with a loss probably of ca 60 letters per line; broken at top. Much is uncertain; some of the families listed could be renters, and it is not entirely clear that all those classified here as slaves are in fact such. See BASP 28 (1991) 198-32 for a detailed argument about the reconstruction of the declaration."
127,159-Ar-6,"SB X 10219 (Aegyptus 46 [1966] 21 no.10) (cf. BL 7.216, BASP 30","Arsinoe, 161",Gaius Valerius Apollinarios discharged veteran of Leg. II on behalf of a ward,['Gaius'],['159-Ar-6-d1'],"['(1) Gaius Valerius Apollinarios [declarant], discharged veteran of Leg. II, age lost (at least 40)', '(2) Gaius Valerius Capito s. Apollinarios [declarant] and NN (divorced wife of declarant), 6']","['(1) Ptolemaios s. Diogenes (s. NN) and Syra (d. Ptolemaios), formerly known as Gaius Valerius Capito, 29']","['(1) Helike, slave of Apollinarios [declarant], age lost', '(2) Nike, slave of Apollinarios [declarant], 20']",discharged veteran,P.bibl.Univ.Giss.inv. 301; photograph.,"Broken at left and right, complete at top and bottom. It appears that the non-kin Ptolemaios was first registered in the previous census as Ptolemaios son of M. Anthestius NN, then entered military service as C. Valerius Capito, then was prematurely mustered out and is now known by a purely peregrine name."
128,159-Ar-7,BGUI 54 (cf. BL 1.12)0,"Karanis (Arsinoite), 7/7/161",Ammonios s. Harpagathos (s. Heras) and Segathis,['Ammonios'],['159-Ar-7-d1'],"['(1) Ammonios [declarant] s. Harpagathos (s. Heras) and Segathis, 36', '(2) Thaisarion d. Antonios, wife of Ammonios [declarant], 29', '(3) Seutharion d. Ammonios [declarant] and Thaisarion [no.2], 9']",[],[],,"Berlin, P.6881; seen 12/4/1991.",Complete. Thaisarion owns the house.
129,159-Ar-8,BGUl 58 (cf. BL 1.13; BASP 29 [1992] 101-03),"Karanis (Arsinoite), 161",Pasoxis s. Pasoxis (s. —sis) and Thi[,['Pasoxis'],['159-Ar-8-d1'],"['(1) Pasoxis [declarant] s. Pasoxis (s. —sis) and Thi[, age lost', '(2) NN s. Pasoxis (s. —sis) and Thi[, brother of Pasoxis [declarant], age lost', '(3) Harpalos s. Pasoxis (s. —sis) and Thi[, brother of Pasoxis [declarant], age lost', '(4) Thermouthas d. Pt[ (s. NN) and Her[, age lost', '(5) NN s./d. Pasoxis [declarant] and Tasoucharion (d. NN and Taorsenouphis?), divorced wife of Pasoxis, age lost', '(6) Thaisas d. NN (no. 2 or no.3) and NN (d. Noostis), divorced wife, age lost']",[],[],,"Berlin, P.6939; seen 15/4/1991.","Broken at right with substantial loss. There were at least two or three more persons listed, but only bits of their identification survive, insufficient for restoration or description."
130,159-Ar-9,"BGU1154 (cf. BL 1.22, 3.8)0","Karanis (Arsinoite), 17/7/161","Herais d. Satabous (s. Phanomgeus) and Tanesneus (d. Pnepheros), with kyrios her father Satabous",['Herais'],['159-Ar-9-d1'],"['(1) Herais [declarant] d. Satabous (s. Phanomgeus) and Tanesneus (d. Pnepheros), 16', '(2) Satabous s. Phanomgeus (s. Phanomgeus) and Heras (d. Esouris), father of Herais [declarant], 44', '(3) Tanesneus d. Pnepheros (s. Petesouchos) and Tasoucharion, mother of Herais [declarant], 39', '(4) Tasoucharion d. Satabous [no.2] and Tanesneus [no.3], sister of Herais [declarant], 9']",[],[],,"Berlin, P.6927; seen 12/4/1991.",Damaged at right after line 16. There is no indication why Herais rather than one of her parents is the owner of the half-house in which they live. The declaration also reports two unoccupied houses owned by Tanes- neus.
131,159 Ar-10,BGU II 524 (cf. BL 1.49; BASP 29 [1992] 111-12),"Karanis (Arsinoite), 160/1",Sisois s. Petheus (s. Akousilaos) and Thermouthis (d. —is),['Sisois'],['159 Ar-10-d1'],"['(1) Sisois [declarant] s. Petheus (s. Akousilaos) and Thermouthis (d. —is), 29', '(2) Thermouthis d. Pasoknopaios, wife of Sisois [declarant], 2[.]', '(3) Thermouth[ d. Sisois [declarant] and Thermouthis [no.2], age lost', '(4) Besas s. Petheus (s. Akousilaos) and Thermouthis (d. —is), brother of Sisois [declarant], 2[.]', '(5) Teonchonsis (?) d. Petheus (s. Akousilaos) and Ther- mouthis (d. —is), sister of Sisois [declarant], 14', '(6) Sisois s. Onnophris and —this (d. Apollonios), cousin (i.e., son of paternal uncle) of Sisois [declarant], age lost', '(7) Thermouthis d. —is, mother of Sisois [declarant], 54']",[],[],,"Berlin, P.7402; seen 16/4/1991.",Complete but with minor damage throughout.
132,159-Ar-ll,P.Lond. II 182b (p. 62) (cf. BASP 21 [1990] 6-7; BASP 30 [1993] 45),"Karanis (Arsinoite), 160/1",Petheus s.,['Petheus'],['159-Ar-ll-d1'],[],[],[],,London,"Damaged before 175. One at the bottom. Isidoros (s. Petheus) and Taimouthes, 73 (1) Petheus [declarant] s. Isidoros (s. Petheus) and Taimouthes, 73 (2) Isidoros s. Petheus [declarant] and Dideis [no.4], 40 (3) Ninnaros alias Ptolemaios s. Isidoros [no.2] and Taonnophris [no.5], 2 (4) Dideis d. Isidoros, sister and wife of Petheus [declarant], age lost (5) Taonnophris d. Petheus [declarant] and Dideis [no.4], sister and wife of Isidoros [no.2], age lost None preserved British Library, BL inv. 182b; microfilm; original seen at bottom. An extract from the declaration, copied sometime or more daughters of Isidoros and Taonnophris could be lost"
133,159 Ar 12,BGU I 90 (cf. BL 1.17) = I 224 (cf. BL 1.27) = I 225 (cf. BL 1.27) = II,"Soknopaiou Nesos (Arsinoite), 28/7/161",Hatres s. Satabous (s. Panephremmis) and Segathis,['Hatres'],['159 Ar 12-d1'],"['(1) Hatres [declarant] s. Satabous (s. Panephremmis) and Segathis, 25', '(2) Isarion apator, d. Tanephremmis (d. Panomieus), wife of Hatres [declarant], 13', '(3) Tapetsiris d. Stotoetis (s. Panephremmis) and Tapetsiris, 12']",[],[],,"Berlin, P.7024, P.7291, P.6883, P.7828, P.7185; Oxford, Bodleian","Six copies of the same declaration (I 90 and II 537 to komogram- mateus, I 224 and II 410 to strategos, I 225 to laographoi, P.Grenf. II 55 to basilikos grammateus). Tapetsiris is not identified by any term of relation- ship, but neither is she called a renter. She could be a first cousin of Hatres."
134,159 Ar 14,P.BerlLeihg. I 16A#,"Theadelphia (Arsinoite), 27/5/161",Apollos,['Apollos'],['159 Ar 14-d1'],"['(1) Apollos [declarant], 3[.] or 4[.]']",[],[],,"Berlin inv. 11659, col. i; seen 15/4/1991.","Broken at top, taking full identification of declarant. Apollos was the only member of the household."
135,159 Ar 15,P.BerlLeihg. I 16B,"Theadelphia (Arsinoite), 25/7/161",Panephremmis s. Heron (s. Heron) and Tapheus,['Panephremmis'],['159 Ar 15-d1'],"['(1) Panephremmis [declarant] s. Heron (s. Heron) and Tapheus, 59']",[],[],,"Berlin inv. 11659, col. ii; seen 15/4/1991.",Complete. The declarant records that he actually lives in a OVVOIKXOL ovoianrj in Apias.
136,159 Ar 16,P.BerlLeihg.,"Theadelphia (Arsinoite), 31/7/161",Horion apator s. Tapheus,['Horion apator'],['159 Ar 16-d1'],"['(1) Horos [declarant] apator s. Tapheus, 33']",[],[],,"Berlin inv. 11659, col. iii (seen 15/4/1991); Cairo, SR 3049/73","Virtually complete in both Berlin and Cairo copies. It is notable that the declarant refers to himself once as Horion, once as Horos. He actually lives in a ovvouda ovotaKij in the Arsinoite village of Pelousion."
137,159 Ar-17,P.BerlLeihg. I 16D (cf. BL 8.62),"Theadelphia (Arsinoite), 31/7/161","Apynchis the elder, s. Orseus (s. Apynchis) and Thenapynchis",['Apynchis'],['159 Ar-17-d1'],"['(1) Apynchis the elder [declarant], s. Orseus (s. Apynchis) and Thenapynchis, 27']",[],[],,"Berlin inv. 11659, col. iv; seen 15/4/1991.",Complete. The declarant records that he actually lives in the epoikion of Theon at Ptolemais Drymou.
138,159-Ar-18,P.Berl.Leihg. I 16E,"Theadelphia (Arsinoite), 4/8/161",Harphaesis s. Osis (s. Harphaesis) and ..ais,['Harphaesis'],['159-Ar-18-d1'],[],[],[],,"Berlin inv. 11659, col. v; seen 15/4/1991.","Large middle section missing with name(s) of person(s) declared, probably only Harphaesis, who no doubt lives elsewhere."
139,159 Ar-19,"BGU XI 2089 = BullAinShams 1 (1985) 46-50, nos. 5-60 (SB XVIII","Arsinoite, 25/6-24/7/161","Taseis d. Mysthes (s. Ision), with kyrios Horion s. Kastor",['Taseis'],['159 Ar-19-d1'],"['(1) Taseis [declarant] d. Mysthes (s. Ision), 44']",[],[],,"W. Berlin, P.21631 (seen 11/4/1991); Cairo, SR 3049/72 and","Berlin Cairo: Two copies, one addressed to the strategos (complete), the other to the basilikos grammateus (damaged throughout). Omar gives a revised ver- sion of BGU XI 2089.2-6 at BullAinShams 1 (1985) 50."
140,159 Ar-20,"P.Lond. Ill 843 (p. 28) (cf. BL 1.274, 3.94; BASP2Z [1991] 125)","Arsinoite (Soknopaiou Nesos?), 13/1/161",NN,['NN'],['159 Ar-20-d1'],"['(1) NN [declarant], 41', '(2) Thases d. Pakysis (s. Orsenouphis), wife of NN [declarant], 35', '(3) Thases, d. NN [declarant] and Thases [no.2], 12', '(4) Stotoetis d. NN [declarant] and Thases [no.2], 8']",[],[],,"London, British Library, inv. 843; seen 2/4/1991.","Only the bottom survives, but apparently no one is lost. Line 11 con- tains the personal name Thenosiris with the age 9, but it is not clear what the relationship to the preceding is. The declarant's age is not quite certain."
141,159 Ar 21,"P.Tebt. II 481, ii (see Aegyptus 72 [1992] 67-71)","Talei (Arsinoite), 25/4/161","Sansneus s. NN (s. Patunis) and NN (d. Sansneus), public farmer",['Sansneus'],['159 Ar 21-d1'],"['(1) Sansneus [declarant] s. NN (s. Patunis) and NN (d. Sansneus), public farmer, 3[.]', '(2) Apollonios, s. NN (s. Patunis) and NN (d. Sansneus), brother of Sansneus [declarant], age lost', '(3) Sochotes, s. NN (s. Patunis) and NN (d. Sansneus), brother of Sansneus [declarant], 33', '(4) NN, wife of Apollonios [no.2], 32', '(5) Tamystha (?) d. Apollonios [no.2] and NN [no.4], age lost', '(6) NN d. Hatres and Sarapous, wife of Sochotes [no.3], age lost', '(7) NN d. Sochotes [no.3] and NN [no.6], age lost', '(8) Sarapous d. Sochotes [no.3] and NN [no.6], 3']",[],[],public farmer,"Berkeley, P.Tebt. 481; seen 27/9/1990; photograph.","Broken at right, otherwise complete. The age of no.7 is presumably greater than 3."
142,159-Ar-22,"P.Tebt. II 481, i (see Aegyptus 72 [1992] 67-71)","Talei (Arsinoite), 29/4/161","Heron s. NN, public farmer",['Heron'],['159-Ar-22-d1'],"['(1) Heron s. NN, public farmer, age lost', '(2) NN d. NN and Thermouthas, probably wife of declarant, age lost']",[],[],public farmer,"Berkeley, P.Tebt. 481; seen 27/9/1990; photograph.",The ends of a few lines.
143,159-Ar-23,BGU XIII 2221 ft,"Soknopaiou Nesos (Arsinoite), 160/1","Stotoetis the elder, s. Pakysis and Stotoetis (d. Onnophris), priest of the 1st tribe of Soknopaios",['Stotoetis'],['159-Ar-23-d1'],"['(1) Stotoetis the elder [declarant], s. Pakysis and Stotoetis (d. Onnophris), age lost']",[],[],priest of the 1st tribe of Soknopaios,"W. Berlin, P.21751; seen 11/4/1991.","Broken at left and below, just after listing Stotoetis; other persons are lost."
144,159-Ar-24,BGU XIII 22220,"Arsinoite, 161",Anchopis,['Anchopis'],['159-Ar-24-d1'],[],[],[],,"W. Berlin, P.21910; seen 11/4/1991.","Broken at top (taking the full identification of the declarant), minor damage at left. No persons are declared, only property belonging to Anchopis and to his daughter Thases, in which no one is registered. A Demotic docket stands on the verso."
145,159 Ar-25,"BullAinShams 1 (1985) 42-45, nos. 3-4#","Theadelphia (Arsinoite), 30/6/161","Tephorsais d. Pabous, with kyrios her kinsman Kastor s. Sarapion",['Tephorsais'],['159 Ar-25-d1'],"['(1) Tephorsais [declarant] d. Pabous, 48']",[],[],,"Cairo, SR 3049/71 and 3049/70; photographs; originals seen","Both complete; two versions of the same declaration, one addressed to the strategos and the other to the basilikos grammateus."
146,159-Ar 26,P.Fay. 319.20-26 (Aegyptus 70 [1990] 27-31; cf. BASP 30 [1993] 38-,"Arsinoe, 161 (document/?os/161)",NN s. or gs. Akousilaos alias Mystharion,['NN'],['159-Ar 26-d1'],"['(1) NN s. or gs. Akousilaos alias Mystharion [declarant], age lost', '(2) NN, full sister and wife of NN [declarant], age lost', '(3) Sarapion alias Leontas, s. NN [declarant] and NN [no.2], 23', '(4) NN s. NN [declarant] and NN [no.2], tailor?, age lost', '(5) Herois d. NN [declarant] and NN [no.2], age lost']",[],[],,"Cairo, JE 10850; plate in Aegyptus (Tav. 1); seen 3/4/93.","Broken at right, with large loss, and torn at the bottom. This is an excerpt from the original declaration, quoted in an epikrisis document of unknown date. See 145-Ar-22 for the following declaration in the same docu- ment. There may have been other persons listed in the lost portions of the text."
147,159 Hm 1,SB VIII 9869a (Cd'E 39 [1964] 111-14)#,"Hermopolis, 28/9/160",NN s. — emgeus,['NN'],['159 Hm 1-d1'],"[' NN [declarant] s. —emgeus, 20 (?)']",[],[],,"P.Stras.inv.gr. 35, seen 14/3/1989","Broken at left, some damage at right and bottom. Declaration of house and one person."
148,159-Hm-2,SB VIII 9869b (Cd'E 39 [1964] 114-15),"Hermopolis, 160",NN,['NN'],['159-Hm-2-d1'],"['(1) NN [declarant], age lost', '(2) Hermapollon, relative of NN [declarant], age lost', '(3) Dios, son of NN [declarant], age lost']","['(1) Eudaimon, age lost', '(2) Dionysarion, wife of Eudaimon [no.l], age lost', '(3) Boubastous, daughter of Eudaimon [no.l] and Dionysarion [no.2], age lost']","['(1) Nikephoros, slave of NN [declarant], age lost', '(2) Demetria, slave of Eudaimon [non-kin no.l], age lost', '(3) Lamprous, female offspring of Demetria [slave of Eudaimon (non-kin no.l)], age lost', '(4) Techosous, female offspring of Demetria [slave of Eudaimon (non-kin no.l)], age lost', '(5) Stephanous, female offspring of Demetria [slave of Eudaimon (non-kin no.l)], age lost']",,"P.Stras.inv.gr. 35, seen 14/3/1989.","Broken at right and bottom. Fragment of date at bottom indicates that no persons are lost. A name in line 9, Dionysios, in genitive, cannot be placed in syntax; Hermapollon, Boubastous, and Dionysarion are mentioned again in lines 20-22 in an uncertain context."
149,159 Hm 3,P.Oslo III 99 (cf. BL 3.126) = P.Mich.inv. 158A-B (SymbOsl 65 [1990],"Alabanthis (Hermopolite), 1-2/161","Paesis s. Nebteichis (d. Pachomis), hyperetes",['Paesis'],['159 Hm 3-d1'],"['(1) Paesis [declarant] s. Nebteichis, hyperetes, 72', '(2) Horos s. Paesis [declarant] and Athenais alias Kinna [no.3], minor, 8', '(3) Athenais alias Kinna d. Besis (s. Harpechis), wife of Paesis [declarant], 57', '(4) Tereus d. Paesis [declarant] and Athenais alias Kinna [no.3], 40']",[],[],hyperetes,"Oslo; photograph. Michigan, inv. 158A-B, seen 11/9/1990.","Various losses in the different copies, which complete one another. For the filiation of Paesis, provenance, see BASP 27 [1990] 9-10 (and reject BL 8.229)."
150,159 Me 1,"P.Lond. Ill 915 (p. 26) (cf. BL 1.274, 8.181)","Memphis, 159/160","Apollonios s. Harphaesis alias Hephaistion and Thermouthis, argos",['Apollonios'],['159 Me 1-d1'],"['(1) Apollonios [declarant] s. Harphaesis alias Hephaistion and Thermouthis, argos, 31', '(2) Soterichos s. Apollonios [declarant] and Ptolema (d. Archosis), 5']",[],[],,"London, British Library, inv. 915; seen 2/4/1991.","Complete except for minor damage. The declarant and son are renters in a house belonging to Sarapion s. Sarapion. Apollonios describes Ptolema as ""long divorced"" from him."
151,159 Me 2,P.Rain.Cent. 59 (cf. BL 8.286),"Memphis, 7-8/160",Herakleides s. Apollonios (s. Harphaesis alias Hephaistion) and Taur[—] d. Hathres,['Herakleides'],['159 Me 2-d1'],"['(1) Herakleides [declarant] s. Apollonios (s. Harphaesis alias Hephaistion) and Taur[—] (d. Hathres), 14']",[],[],,P.Vindob. G 39999; PI. 69.,"Complete except for small holes. Declarant is a renter in house of Sarapion s. Sarapion (s. Hartotes). Cf. P.Lond. Ill 915, 159-Me-l, in which the declarant's father Apollonios files his own declaration as living in the same house. Bingen notes in his commentary this Memphite characteristic of having children past the age of fiscal majority file separate returns even though living in the same household."
152,159-Me-3,P.Monac. Ill 71 #,"Memphis, 159/160",Papontos s. Psosnaus and Artemis,['Papontos'],['159-Me-3-d1'],"['(1) Papontos [declarant] s. Psosnaus and Artemis, argos, age lost']",[],[],,"Munich, P.Monac.inv. 25; Abb. 20.","Appended to a cover letter dated 4.3.164. A declaration of Papontos and his family in the house which they rent (cf. ZPE 75 [1988] 255-56), it breaks off after the start of the list of persons. The preliminaries indicate that at least two family members were declared. A fragment contains part of the oath."
